Common Name,Alpha Code,Oldbird Spectrogram,Oldbird Nocturnal Spectrogram,Link
White-crowned Pigeon,WCPI,N,N,http://oldbird.org/pubs/fcmb/species/doves/wcpi/wcpi.htm
Eurasian Collared-dDve,EUCD,Y,N,http://oldbird.org/pubs/fcmb/species/doves/codo/codo.htm
White-winged Dove,WWDO,N,N,http://oldbird.org/pubs/fcmb/species/doves/wwdo/wwdo.htm
Mourning Dove,MODO,N,N,http://oldbird.org/pubs/fcmb/species/doves/modo/modo.htm
Black-billed Cuckoo,BBCU,Y,Y,http://oldbird.org/pubs/fcmb/species/cuckoos/bbcu/bbcu.htm
Yellow-billed Cuckoo,YBCU,Y,Y,http://oldbird.org/pubs/fcmb/species/cuckoos/ybcu/ybcu.htm
Groove-billed Ani,GBAN,Y,N,http://oldbird.org/pubs/fcmb/species/cuckoos/gban/gban.htm
Barn Owl,BANO,Y,Y,http://oldbird.org/pubs/fcmb/species/owls/bnow/bnow.htm
Snowy Owl,SNOW,N,N,http://oldbird.org/pubs/fcmb/species/owls/snow/snow.htm
Northern Hawk Owl,NHOW,N,N,http://oldbird.org/pubs/fcmb/species/owls/nhow/nhow.htm
Burrowing Owl,BUOW,N,N,http://oldbird.org/pubs/fcmb/species/owls/buow/buow.htm
Great Gray Owl,GGOW,N,N,http://oldbird.org/pubs/fcmb/species/owls/ggow/ggow.htm
Long-eared Owl,LEOW,N,N,http://oldbird.org/pubs/fcmb/species/owls/leow/leow.htm
Short-eared Owl,SEOW,N,N,http://oldbird.org/pubs/fcmb/species/owls/seow/seow.htm
Boreal Owl,BOOW,N,N,http://oldbird.org/pubs/fcmb/species/owls/boow/boow.htm
Northern Saw-whet Owl,NSWO,Y,N,http://oldbird.org/pubs/fcmb/species/owls/nswo/nswo.htm
Antillean Nighthawk,ANNI,Y,N,http://oldbird.org/pubs/fcmb/species/goatsuck/anni/anni.htm
Common Nighthawk,CONI,Y,Y,http://oldbird.org/pubs/fcmb/species/goatsuck/coni/coni.htm
Lesser Nighthawk,LENI,Y,N,http://oldbird.org/pubs/fcmb/species/goatsuck/leni/leni.htm
Chuck-wills-widow,CWWI,Y,Y,http://oldbird.org/pubs/fcmb/species/goatsuck/cwwi/cwwi.htm
