common_name,taxonomic_index,alphabetic_index,scientific_name,alpha_code,order,family,bioacoustic_category,description,high_or_low,bandpass_low_freq,bandpass_high_freq,typical_duration_ms,median_duration,approx_duration,oldbird_spectrogram,oldbird_nocturnal_spectrogram,oldbird_link,images,audio
Black-bellied Whistling-Duck,0,81,Dendrocygna autumnalis,BBWD,Anseriformes,Anatidae,,,,,,,,,,,No OldBird page,,
Fulvous Whistling-Duck,1,263,Dendrocygna bicolor,FUWD,Anseriformes,Anatidae,,,,,,,,,,,No OldBird page,,
Emperor Goose,2,246,Anser canagicus,EMGO,Anseriformes,Anatidae,,,,,,,,,,,No OldBird page,,
Snow Goose,3,605,Anser caerulescens,SNGO,Anseriformes,Anatidae,,,,,,,,,,,No OldBird page,,
Ross's Goose,4,562,Anser rossii,ROGO,Anseriformes,Anatidae,,,,,,,,,,,No OldBird page,,
Greater White-fronted Goose,6,306,Anser albifrons,GWFG,Anseriformes,Anatidae,,,,,,,,,,,No OldBird page,,
Brant,11,121,Branta bernicla,BRAN,Anseriformes,Anatidae,,,,,,,,,,,No OldBird page,,
Cackling Goose,13,148,Branta hutchinsii,CACG,Anseriformes,Anatidae,,,,,,,,,,,No OldBird page,,
Canada Goose,14,158,Branta canadensis,CANG,Anseriformes,Anatidae,,,"Low, Middle, High",0.1,10000.0,,0.09300000000000001,0.1,,,No OldBird page,"['media/CANG/spectrograms/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_936.194_936.275.jpg', 'media/CANG/spectrograms/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_550.766_550.882.jpg', 'media/CANG/spectrograms/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_558.753_558.904.jpg', 'media/CANG/spectrograms/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_215.725_215.80599999999998.jpg', 'media/CANG/spectrograms/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_550.0459999999999_550.174.jpg', 'media/CANG/spectrograms/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_223.62_223.80599999999998.jpg', 'media/CANG/spectrograms/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_224.97799999999998_225.106.jpg', 'media/CANG/spectrograms/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_228.09_228.403.jpg', 'media/CANG/spectrograms/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_548.6990000000001_548.746.jpg', 'media/CANG/spectrograms/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_555.5840000000001_555.793.jpg', 'media/CANG/spectrograms/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_937.0880000000001_937.297.jpg', 'media/CANG/spectrograms/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_229.86599999999999_229.912.jpg', 'media/CANG/spectrograms/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_547.1669999999999_547.225.jpg', 'media/CANG/spectrograms/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_225.88400000000001_226.0.jpg', 'media/CANG/spectrograms/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_544.6469999999999_544.763.jpg', 'media/CANG/spectrograms/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_556.6519999999999_556.768.jpg', 'media/CANG/spectrograms/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_226.058_226.15099999999998.jpg', 'media/CANG/spectrograms/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_938.423_938.5039999999999.jpg', 'media/CANG/spectrograms/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_221.054_221.158.jpg', 'media/CANG/spectrograms/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_547.724_547.759.jpg', 'media/CANG/spectrograms/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_557.755_557.999.jpg', 'media/CANG/spectrograms/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_221.80900000000003_221.878.jpg', 'media/CANG/spectrograms/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_235.40400000000002_235.497.jpg', 'media/CANG/spectrograms/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_243.345_243.45.jpg', 'media/CANG/spectrograms/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_542.453_542.534.jpg', 'media/CANG/spectrograms/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_232.826_233.00099999999998.jpg', 'media/CANG/spectrograms/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_218.88299999999998_218.987.jpg', 'media/CANG/spectrograms/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_557.592_557.627.jpg', 'media/CANG/spectrograms/SWWB_20160925_192400_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_24131.807999999997_24131.872000000003.jpg', 'media/CANG/spectrograms/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_554.376_554.5509999999999.jpg']","['media/CANG/audio/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_936.194_936.275.wav', 'media/CANG/audio/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_550.766_550.882.wav', 'media/CANG/audio/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_558.753_558.904.wav', 'media/CANG/audio/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_215.725_215.80599999999998.wav', 'media/CANG/audio/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_550.0459999999999_550.174.wav', 'media/CANG/audio/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_223.62_223.80599999999998.wav', 'media/CANG/audio/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_224.97799999999998_225.106.wav', 'media/CANG/audio/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_228.09_228.403.wav', 'media/CANG/audio/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_548.6990000000001_548.746.wav', 'media/CANG/audio/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_555.5840000000001_555.793.wav', 'media/CANG/audio/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_937.0880000000001_937.297.wav', 'media/CANG/audio/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_229.86599999999999_229.912.wav', 'media/CANG/audio/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_547.1669999999999_547.225.wav', 'media/CANG/audio/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_225.88400000000001_226.0.wav', 'media/CANG/audio/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_544.6469999999999_544.763.wav', 'media/CANG/audio/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_556.6519999999999_556.768.wav', 'media/CANG/audio/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_226.058_226.15099999999998.wav', 'media/CANG/audio/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_938.423_938.5039999999999.wav', 'media/CANG/audio/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_221.054_221.158.wav', 'media/CANG/audio/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_547.724_547.759.wav', 'media/CANG/audio/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_557.755_557.999.wav', 'media/CANG/audio/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_221.80900000000003_221.878.wav', 'media/CANG/audio/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_235.40400000000002_235.497.wav', 'media/CANG/audio/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_243.345_243.45.wav', 'media/CANG/audio/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_542.453_542.534.wav', 'media/CANG/audio/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_232.826_233.00099999999998.wav', 'media/CANG/audio/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_218.88299999999998_218.987.wav', 'media/CANG/audio/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_557.592_557.627.wav', 'media/CANG/audio/SWWB_20160925_192400_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_24131.807999999997_24131.872000000003.wav', 'media/CANG/audio/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_554.376_554.5509999999999.wav']"
Hawaiian Goose,15,329,Branta sandvicensis,HAGO,Anseriformes,Anatidae,,,,,,,,,,,No OldBird page,,
