code,low_freq,high_freq,duration,median_duration,approx_duration
HOWA,5000.0,11024,0.1,0.058,0.1
INBU,5000.0,11024,0.15,0.11,0.15
KILL,0.1,5000,0.1,0.081,0.1
LALO,5000.0,11024,0.1,0.059,0.1
LASP,5000.0,11024,0.05,0.033,0.05
LBDO,0.1,5000,0.05,0.032,0.05
LESA,0.1,5000,0.15,0.118,0.15
LESP,0.1,5000,0.1,0.064,0.1
LEYE,0.1,5000,0.1,0.064,0.1
LTDU,0.1,5000,0.1,0.082,0.1
MAWA,5000.0,11024,0.1,0.058,0.1
MOWA,5000.0,11024,0.05,0.043,0.05
NAWA,5000.0,11024,0.05,0.043,0.05
NESP,5000.0,11024,0.1,0.091,0.1
NOMO,0.1,5000,0.05,0.046,0.05
NOPA,5000.0,11024,0.05,0.043,0.05
NOWA,5000.0,11024,0.1,0.058,0.1
OCWA,5000.0,11024,0.05,0.043,0.05
OROR,5000.0,11024,0.5,0.202,0.5
OSFL,0.1,5000,0.05,0.032,0.05
OVEN,5000.0,11024,0.05,0.053,0.1
PAWA,5000.0,11024,0.05,0.047,0.05
PESA,0.1,5000,0.15,0.125,0.15
PISI,5000.0,11024,0.1,0.064,0.1
PIWA,5000.0,11024,0.05,0.044,0.05
PRAW,5000.0,11024,0.05,0.046,0.05
PROW,5000.0,11024,0.1,0.065,0.1
PUFI,5000.0,11024,0.05,0.0,0.05
RBGR,5000.0,11024,0.15,0.116,0.15
RBGU,5000.0,11024,0.5,0.235,0.5
RBNU,0.1,5000,0.1,0.104,0.15
RCKI,5000.0,11024,0.5,0.158,0.5
RECR,5000.0,11024,0.05,0.043,0.05
RUTU,0.1,5000,0.1,0.064,0.1
RWBL,5000.0,11024,0.05,0.032,0.05
SAND,0.1,5000,0.05,0.0,0.05
SAVS,5000.0,11024,0.05,0.053,0.1
SBDO,0.1,5000,0.1,0.059,0.1
SCTA,5000.0,11024,0.5,0.157,0.5
SEPL,0.1,5000,0.1,0.085,0.1
SESA,0.1,5000,0.05,0.043,0.05
SESP,5000.0,11024,0.5,0.199,0.5
SNBU,5000.0,11024,0.1,0.086,0.1
SORA,0.1,5000,0.1,0.081,0.1
SOSA,0.1,5000,0.1,0.059,0.1
SOSP,5000.0,11024,0.1,0.096,0.1
SPSA,0.1,5000,0.1,0.072,0.1
STSA,0.1,5000,0.5,0.427,0.5
SWTH,0.1,5000,0.15,0.107,0.15
TEWA,5000.0,11024,0.05,0.046,0.05
TRES,5000.0,11024,0.1,0.069,0.1
UPSA,0.1,5000,0.05,0.038,0.05
VEER,0.1,5000,0.15,0.139,0.15
VESP,5000.0,11024,0.1,0.058,0.1
WCSP,5000.0,11024,0.1,0.07,0.1
WEWA,5000.0,11024,0.1,0.09,0.1
WHIM,0.1,5000,0.05,0.046,0.05
WILL,0.1,5000,0.1,0.075,0.1
WISN,0.1,5000,0.15,0.112,0.15
WIWA,5000.0,11024,0.05,0.035,0.05
WOTH,0.1,5000,0.5,0.162,0.5
WRSA,0.1,5000,0.1,0.061,0.1
WTSP,5000.0,11024,0.1,,0.1
YBFL,0.1,5000,0.15,0.12,0.15
YEWA,5000.0,11024,0.05,0.053,0.1
YRWA,5000.0,11024,0.05,0.043,0.05
YTWA,5000.0,11024,0.1,0.057,0.1
