code,low_freq,high_freq,approx_duration,median_duration,approx_minus_median_duration
CANG,0.1,10000,0.1,0.093,0.007
GWTE,0.1,5000,0.1,0.075,0.025
BLSC,1000,3000,0.5,0.272,0.228
LTDU,0.1,10000,0.1,0.082,0.018
BBCU,0.1,5000,0.05,0.042,0.008
CONI,0.1,7000,0.15,0.074,0.076
AMOY,0.1,5000,0.1,0.096,0.004
BBPL,0.1,5000,0.15,0.128,0.022
AMGP,0.1,5000,0.15,0.149,0.001
KILL,0.1,5000,0.15,0.081,0.069
SEPL,0.1,5000,0.1,0.085,0.015
UPSA,0.1,5000,0.05,0.038,0.012
WHIM,0.1,5000,0.05,0.046,0.004
RUTU,0.1,5000,0.1,0.064,0.036
SAND,0.1,7000,0.05,0,0.05
DUNL,0.1,5000,0.1,0.101,-0.001
LESA,1000,7000,0.15,0.118,0.032
WRSA,1000,7000,0.1,0.061,0.039
PESA,0.1,7000,0.15,0.125,0.025
SESA,0.1,6000,0.1,0.043,0.057
SBDO,0.1,5000,0.15,0.059,0.091
LBDO,0.1,6000,0.05,0.032,0.018
AMWO,0.1,7000,0.15,0.123,0.027
WISN,0.1,7000,0.15,0.112,0.038
SPSA,2000,7000,0.1,0.072,0.028
SOSA,2000,7000,0.1,0.059,0.041
LEYE,0.1,5000,0.1,0.064,0.036
WILL,0.1,6000,0.2,0.075,0.125
GRYE,0.1,6000,0.1,0.053,0.047
COTE,0.1,6000,0.1,0.054,0.046
COLO,0.1,5000,0.05,0.043,0.007
LESP,0.1,7000,0.1,0.064,0.036
GBHE,0.1,5000,0.1,0.096,0.004
BCNH,0.1,5000,0.15,0.117,0.033
GCFL,0.1,5000,0.05,0.042,0.008
OSFL,0.1,5000,0.05,0.032,0.018
YBFL,0.1,5000,0.15,0.12,0.03
ALFL,0.1,5000,0.05,0.043,0.007
BHVI,5000,11024,0.05,0.023,0.027
BCCH,5000,11024,0.05,0.035,0.015
BOCH,4000,11024,0.05,0.043,0.007
HOLA,2000,11024,0.3,1.332,-1.032
TRES,2000,6000,0.1,0.069,0.031
CLSW,2000,6000,0.1,0.069,0.031
GCKI,5000,11024,0.15,0.139,0.011
RCKI,4000,11024,0.2,0.158,0.042
CEDW,4000,11024,0.2,0.192,0.008
RBNU,1000,6000,0.1,0.104,-0.004
GRCA,1000,10000,0.1,0.1,0
BRTH,1000,10000,0.05,0.026,0.024
NOMO,0.1,5000,0.05,0.046,0.004
EABL,0.1,5000,0.2,0.266,-0.066
VEER,0.1,5000,0.15,0.139,0.011
GCTH,0.1,5000,0.15,0.174,-0.024
SWTH,0.1,5000,0.15,0.107,0.043
HETH,0.1,5000,0.15,0.128,0.022
WOTH,0.1,5000,0.2,0.162,0.038
AMRO,1000,10000,0.1,0.082,0.018
AMPI,3000,11024,0.1,0.042,0.058
HOFI,0.1,7000,0.15,0.128,0.022
PUFI,0.1,7000,0.05,0,0.05
RECR,0.1,7000,0.05,0.043,0.007
PISI,0.1,10000,0.1,0.064,0.036
AMGO,0.1,7000,0.05,0,0.05
SNBU,0.1,7000,0.1,0.086,0.014
GRSP,5000,11024,0.15,0.11,0.04
LASP,4000,11024,0.05,0.033,0.017
CHSP,5000,11024,0.1,0.081,0.019
CCSP,5000,11024,0.05,0.051,-0.001
FISP,5000,11024,0.15,0.111,0.039
FOSP,5000,11024,0.1,0.093,0.007
ATSP,5000,11024,0.1,0.058,0.042
DEJU,4000,11024,0.1,0.047,0.053
WCSP,5000,11024,0.1,0.07,0.03
WTSP,5000,11024,0.1,,0.1
VESP,5000,11024,0.1,0.058,0.042
SESP,5000,11024,0.2,0.199,0.001
NESP,5000,11024,0.1,0.091,0.009
HESP,5000,11024,0.15,0.147,0.003
SAVS,5000,11024,0.1,0.053,0.047
SOSP,5000,11024,0.1,0.096,0.004
BOBO,0.1,7000,0.1,0.064,0.036
BAOR,0.1,5000,0.1,0.081,0.019
RWBL,0.1,8000,0.05,0.032,0.018
OVEN,5000,11024,0.05,0.053,-0.003
WEWA,5000,11024,0.1,0.09,0.01
NOWA,5000,11024,0.1,0.058,0.042
GWWA,5000,11024,0.05,0.046,0.004
BWWA,5000,11024,0.1,0.056,0.044
BAWW,5000,11024,0.1,0.064,0.036
PROW,5000,11024,0.1,0.065,0.035
TEWA,5000,11024,0.05,0.046,0.004
OCWA,5000,11024,0.05,0.043,0.007
NAWA,5000,11024,0.05,0.043,0.007
MOWA,5000,11024,0.05,0.043,0.007
COYE,5000,11024,0.05,0.046,0.004
HOWA,5000,11024,0.1,0.058,0.042
AMRE,4000,11024,0.05,0.053,-0.003
CMWA,5000,11024,0.05,0.043,0.007
CERW,5000,11024,0.1,0.102,-0.002
NOPA,4000,11024,0.05,0.043,0.007
MAWA,5000,11024,0.1,0.058,0.042
BBWA,5000,11024,0.05,0.043,0.007
BLBW,5000,11024,0.05,0.046,0.004
YEWA,5000,11024,0.05,0.053,-0.003
CSWA,4000,11024,0.1,0.059,0.041
BLPW,5000,11024,0.05,0.053,-0.003
BTBW,5000,11024,0.05,0.024,0.026
PAWA,4000,11024,0.05,0.047,0.003
PIWA,5000,11024,0.05,0.044,0.006
YRWA,5000,11024,0.05,0.043,0.007
YTWA,5000,11024,0.1,0.057,0.043
PRAW,5000,11024,0.05,0.046,0.004
BTNW,5000,11024,0.05,0.046,0.004
CAWA,4000,11024,0.1,0.058,0.042
WIWA,4000,11024,0.05,0.035,0.015
SCTA,0.1,8000,0.2,0.157,0.043
RBGR,0.1,8000,0.15,0.116,0.034
INBU,5000,11024,0.15,0.11,0.04
DICK,0.1,6000,0.1,0.086,0.014
BLGR,4000,11024,0.1,0.086,0.014
BRCR,5000,11024,0.05,0.036,0.014
COGO,0.1,5000,0.2,0.324,-0.124
EVGR,0.1,6000,0.15,0.176,-0.026
LALO,1000,6000,0.05,0.059,-0.009
OROR,1000,5000,0.2,0.202,-0.002
RBGU,0,5000,0.25,0.235,0.015
SORA,0.1,11024,0.1,0.081,0.019
STSA,0.1,11024,0.5,0.427,0.073
