common_name,scientific_name,alpha_code,order,family,genus,bioacoustic_category,high_or_low,images
Common Yellowthroat,Geothlypis trichas,coye,passeriformes,parulidae,geothlypis,,high,"['coye/coye_nfc009357.png', 'coye/coye_nfc026815.png', 'coye/coye_nfc021861.png', 'coye/coye_nfc002934.png', 'coye/coye_nfc002669.png', 'coye/coye_nfc009421.png', 'coye/coye_nfc025934.png', 'coye/coye_nfc007933.png', 'coye/coye_nfc004825.png', 'coye/coye_nfc017972.png', 'coye/coye_nfc009765.png', 'coye/coye_nfc014547.png', 'coye/coye_nfc025759.png', 'coye/coye_nfc000129.png', 'coye/coye_nfc004575.png', 'coye/coye_nfc010165.png', 'coye/coye_nfc017309.png', 'coye/coye_nfc001166.png', 'coye/coye_nfc008013.png', 'coye/coye_nfc012217.png', 'coye/coye_nfc015578.png', 'coye/coye_nfc017870.png', 'coye/coye_nfc006988.png', 'coye/coye_nfc003508.png', 'coye/coye_nfc027963.png', 'coye/coye_nfc017762.png', 'coye/coye_nfc003018.png', 'coye/coye_nfc009337.png', 'coye/coye_nfc016304.png', 'coye/coye_nfc022795.png', 'coye/coye_nfc003344.png']"
American Redstart,Setophaga ruticilla,amre,passeriformes,parulidae,setophaga,,high,"['amre/amre_nfc025593.png', 'amre/amre_nfc029542.png', 'amre/amre_nfc014686.png', 'amre/amre_nfc028299.png', 'amre/amre_nfc026322.png', 'amre/amre_nfc000645.png', 'amre/amre_nfc022024.png', 'amre/amre_nfc008122.png', 'amre/amre_nfc017485.png', 'amre/amre_nfc008942.png', 'amre/amre_nfc010003.png', 'amre/amre_nfc001492.png', 'amre/amre_nfc028845.png', 'amre/amre_nfc004518.png', 'amre/amre_nfc003005.png', 'amre/amre_nfc015465.png', 'amre/amre_nfc020412.png', 'amre/amre_nfc000777.png', 'amre/amre_nfc006975.png', 'amre/amre_nfc000299.png', 'amre/amre_nfc007936.png', 'amre/amre_nfc023271.png', 'amre/amre_nfc001040.png', 'amre/amre_nfc019111.png', 'amre/amre_nfc014546.png', 'amre/amre_nfc004501.png', 'amre/amre_nfc003505.png', 'amre/amre_nfc012212.png', 'amre/amre_nfc019557.png', 'amre/amre_nfc028315.png', 'amre/amre_nfc008204.png']"
Magnolia Warbler,Setophaga magnolia,mawa,passeriformes,parulidae,setophaga,zeep,high,"['mawa/mawa_nfc028755.png', 'mawa/mawa_nfc015539.png', 'mawa/mawa_nfc004516.png', 'mawa/mawa_nfc023398.png', 'mawa/mawa_nfc022787.png', 'mawa/mawa_nfc028125.png', 'mawa/mawa_nfc009969.png', 'mawa/mawa_nfc033390.png', 'mawa/mawa_nfc007046.png', 'mawa/mawa_nfc026380.png', 'mawa/mawa_nfc022864.png', 'mawa/mawa_nfc030118.png', 'mawa/mawa_nfc008937.png', 'mawa/mawa_nfc008616.png', 'mawa/mawa_nfc026891.png', 'mawa/mawa_nfc016368.png', 'mawa/mawa_nfc003604.png', 'mawa/mawa_nfc019570.png', 'mawa/mawa_nfc032987.png', 'mawa/mawa_nfc000996.png', 'mawa/mawa_nfc012247.png', 'mawa/mawa_nfc032995.png', 'mawa/mawa_nfc002569.png', 'mawa/mawa_nfc000692.png', 'mawa/mawa_nfc004507.png', 'mawa/mawa_nfc009380.png', 'mawa/mawa_nfc023263.png', 'mawa/mawa_nfc026175.png', 'mawa/mawa_nfc000128.png', 'mawa/mawa_nfc034361.png', 'mawa/mawa_nfc007362.png']"
Swainson's Thrush,Catharus ustulatus,swth,passeriformes,turdidae,catharus,,low,"['swth/swth_nfc030887.png', 'swth/swth_nfc009262.png', 'swth/swth_nfc049209.png', 'swth/swth_nfc049427.png', 'swth/swth_nfc022751.png', 'swth/swth_nfc055847.png', 'swth/swth_nfc023204.png', 'swth/swth_nfc053304.png', 'swth/swth_nfc042994.png', 'swth/swth_nfc023370.png', 'swth/swth_nfc036880.png', 'swth/swth_nfc029506.png', 'swth/swth_nfc049964.png', 'swth/swth_nfc020730.png', 'swth/swth_nfc046356.png', 'swth/swth_nfc019732.png', 'swth/swth_nfc032956.png', 'swth/swth_nfc044203.png', 'swth/swth_nfc048894.png', 'swth/swth_nfc017937.png', 'swth/swth_nfc033548.png', 'swth/swth_nfc003923.png', 'swth/swth_nfc029846.png', 'swth/swth_nfc022943.png', 'swth/swth_nfc012958.png', 'swth/swth_nfc039607.png', 'swth/swth_nfc035940.png', 'swth/swth_nfc002534.png', 'swth/swth_nfc014629.png', 'swth/swth_nfc003602.png', 'swth/swth_nfc038456.png']"
Savannah Sparrow,Passerculus sandwichensis,savs,passeriformes,passerellidae,passerculus,double downsweep,high,"['savs/savs_nfc017410.png', 'savs/savs_nfc017712.png', 'savs/savs_nfc003700.png', 'savs/savs_nfc003986.png', 'savs/savs_nfc016286.png', 'savs/savs_nfc019778.png', 'savs/savs_nfc003525.png', 'savs/savs_nfc025527.png', 'savs/savs_nfc009853.png', 'savs/savs_nfc004513.png', 'savs/savs_nfc001148.png', 'savs/savs_nfc027919.png', 'savs/savs_nfc002678.png', 'savs/savs_nfc003501.png', 'savs/savs_nfc001264.png', 'savs/savs_nfc000126.png', 'savs/savs_nfc025701.png', 'savs/savs_nfc001115.png', 'savs/savs_nfc028561.png', 'savs/savs_nfc026336.png', 'savs/savs_nfc023059.png', 'savs/savs_nfc002864.png', 'savs/savs_nfc010155.png', 'savs/savs_nfc023837.png', 'savs/savs_nfc007053.png', 'savs/savs_nfc020170.png', 'savs/savs_nfc002559.png', 'savs/savs_nfc003710.png', 'savs/savs_nfc009484.png', 'savs/savs_nfc003356.png', 'savs/savs_nfc008135.png']"
