,project,source_clip,order,family,genus,species,alpha_code,annotation_start_time,annotation_end_time,audio_clip_start_time
25,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,PASSERIFORMES,PARULIDAE,SETOPHAGA,AMERICANA,NOPA,1737.735,1737.77,1734.735
26,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,PASSERIFORMES,PARULIDAE,SETOPHAGA,CAERULESCENS,BTBW,3073.5209999999997,3073.5559999999996,3070.5209999999997
27,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,PASSERIFORMES,PARULIDAE,SETOPHAGA,CASTANEA,BBWA,3247.136,3247.183,3244.136
28,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,PASSERIFORMES,PARULIDAE,SETOPHAGA,PALMARUM,PAWA,3598.118,3598.187,3595.118
29,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,PASSERIFORMES,PARULIDAE,SETOPHAGA,VIRENS,BTNW,3599.8590000000004,3599.906,3596.8590000000004
30,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,PASSERIFORMES,PARULIDAE,SETOPHAGA,MAGNOLIA,MAWA,3697.905,3697.975,3694.905
31,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,PASSERIFORMES,PARULIDAE,SETOPHAGA,CAERULESCENS,BTBW,4039.343,4039.3779999999997,4036.343
32,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,PASSERIFORMES,PARULIDAE,LEIOTHLYPIS,RUFICAPILLA,NAWA,4053.972,4054.03,4050.972
33,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,PASSERIFORMES,PARULIDAE,SETOPHAGA,CAERULESCENS,BTBW,4065.5820000000003,4065.605,4062.5820000000003
34,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,PASSERIFORMES,PARULIDAE,SETOPHAGA,CAERULESCENS,BTBW,4100.075,4100.098,4097.075
35,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,PASSERIFORMES,PARULIDAE,SETOPHAGA,CAERULESCENS,BTBW,4128.38,4128.415,4125.38
36,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,PASSERIFORMES,PARULIDAE,SETOPHAGA,CAERULESCENS,BTBW,4146.782,4146.805,4143.782
37,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,PASSERIFORMES,PARULIDAE,SETOPHAGA,MAGNOLIA,MAWA,4159.112,4159.24,4156.112
38,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,PASSERIFORMES,PARULIDAE,SETOPHAGA,STRIATA,BLPW,4415.692,4415.762,4412.692
39,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,PASSERIFORMES,PASSERELLIDAE,CHONDESTES,GRAMMACUS,LASP,4711.84,4711.874,4708.84
40,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,PASSERIFORMES,PARULIDAE,GEOTHLYPIS,TRICHAS,COYE,5100.391,5100.46,5097.391
41,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,PASSERIFORMES,PARULIDAE,SETOPHAGA,MAGNOLIA,MAWA,5414.8009999999995,5414.87,5411.8009999999995
42,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,PASSERIFORMES,PARULIDAE,SETOPHAGA,STRIATA,BLPW,5442.177,5442.235,5439.177
43,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,PASSERIFORMES,PARULIDAE,SETOPHAGA,STRIATA,BLPW,5652.062,5652.132,5649.062
44,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,PASSERIFORMES,PARULIDAE,MNIOTILTA,VARIA,BAWW,6143.721,6143.826,6140.721
45,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,PASSERIFORMES,PARULIDAE,GEOTHLYPIS,TRICHAS,COYE,6566.196999999999,6566.232,6563.196999999999
46,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,PASSERIFORMES,PARULIDAE,SETOPHAGA,MAGNOLIA,MAWA,7218.155,7218.213000000001,7215.155
47,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,PASSERIFORMES,PARULIDAE,SETOPHAGA,MAGNOLIA,MAWA,7384.015,7384.085,7381.015
48,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,PASSERIFORMES,PARULIDAE,SETOPHAGA,MAGNOLIA,MAWA,11048.159,11048.229,11045.159
49,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,PASSERIFORMES,PARULIDAE,SETOPHAGA,CORONATA,YRWA,11150.187,11150.257,11147.187
50,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,PASSERIFORMES,PARULIDAE,SETOPHAGA,AMERICANA,NOPA,12004.055,12004.101,12001.055
51,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,PASSERIFORMES,PARULIDAE,SETOPHAGA,MAGNOLIA,MAWA,14251.188999999998,14251.258999999998,14248.188999999998
52,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,PASSERIFORMES,PASSERELLIDAE,PASSERCULUS,SANDWICHENSIS,SAVS,14545.839,14545.862,14542.839
53,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,PASSERIFORMES,PARULIDAE,SETOPHAGA,PALMARUM,PAWA,15900.363000000001,15900.444,15897.363000000001
54,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,PASSERIFORMES,PARULIDAE,SETOPHAGA,AMERICANA,NOPA,16544.763,16544.798,16541.763
55,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,PASSERIFORMES,PARULIDAE,GEOTHLYPIS,TRICHAS,COYE,17140.448,17140.494,17137.448
56,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,PASSERIFORMES,PARULIDAE,SETOPHAGA,STRIATA,BLPW,17269.493000000002,17269.551,17266.493000000002
57,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,PASSERIFORMES,PARULIDAE,SETOPHAGA,STRIATA,BLPW,17281.776,17281.846,17278.776
58,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,PASSERIFORMES,TURDIDAE,CATHARUS,MINIMUS,GCTH,17614.716,17614.808999999997,17611.716
59,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,PASSERIFORMES,PARULIDAE,SETOPHAGA,RUTICILLA,AMRE,18195.714,18195.772,18192.714
60,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,PASSERIFORMES,PARULIDAE,SETOPHAGA,STRIATA,BLPW,18266.593,18266.639,18263.593
61,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,PASSERIFORMES,PARULIDAE,MNIOTILTA,VARIA,BAWW,18574.478,18574.558999999997,18571.478
62,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,PASSERIFORMES,PASSERELLIDAE,ZONOTRICHIA,ALBICOLLIS,WTSP,18767.749,18767.772,18764.749
63,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,PASSERIFORMES,PASSERELLIDAE,ZONOTRICHIA,ALBICOLLIS,WTSP,20871.837,20871.964,20868.837
64,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,PASSERIFORMES,PASSERELLIDAE,ZONOTRICHIA,ALBICOLLIS,WTSP,20918.335,20918.462,20915.335
65,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,PASSERIFORMES,PARULIDAE,GEOTHLYPIS,TRICHAS,COYE,23566.605,23566.687,23563.605
66,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,PASSERIFORMES,PARULIDAE,GEOTHLYPIS,TRICHAS,COYE,24685.157000000003,24685.215,24682.157000000003
67,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,PASSERIFORMES,REGULIDAE,REGULUS,SATRAPA,GCKI,25872.115,25872.347,25869.115
68,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,PASSERIFORMES,PARULIDAE,SETOPHAGA,MAGNOLIA,MAWA,26324.137000000002,26324.207000000002,26321.137000000002
69,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,PASSERIFORMES,PASSERELLIDAE,ZONOTRICHIA,ALBICOLLIS,WTSP,27974.147,27974.391,27971.147
70,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,PASSERIFORMES,PASSERELLIDAE,PASSERCULUS,SANDWICHENSIS,SAVS,28159.617000000002,28159.64,28156.617000000002
71,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,PASSERIFORMES,PARULIDAE,SETOPHAGA,PALMARUM,PAWA,28263.467999999997,28263.515,28260.467999999997
72,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,PASSERIFORMES,PARULIDAE,SETOPHAGA,STRIATA,BLPW,28874.815,28874.966,28871.815
73,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,PASSERIFORMES,PARULIDAE,SETOPHAGA,PINUS,PIWA,29046.131,29046.182,29043.131
74,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,PASSERIFORMES,PARULIDAE,SETOPHAGA,STRIATA,BLPW,29366.938,29367.007999999998,29363.938
75,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,PASSERIFORMES,PARULIDAE,GEOTHLYPIS,TRICHAS,COYE,29847.951,29848.009,29844.951
76,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,PASSERIFORMES,PARULIDAE,GEOTHLYPIS,TRICHAS,COYE,29970.471,29970.553,29967.471
77,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,PASSERIFORMES,PASSERELLIDAE,ZONOTRICHIA,ALBICOLLIS,WTSP,30122.551,30122.678,30119.551
78,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,PASSERIFORMES,PARULIDAE,SETOPHAGA,PINUS,PIWA,30446.759,30446.806,30443.759
79,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,PASSERIFORMES,PARULIDAE,SETOPHAGA,DISCOLOR,PRAW,30455.676,30455.734,30452.676
80,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,PASSERIFORMES,PARULIDAE,GEOTHLYPIS,TRICHAS,COYE,30547.975,30548.021,30544.975
81,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,CHARADRIIFORMES,CHARADRIIDAE,CHARADRIUS,SEMIPALMATUS,SEPL,31162.677000000003,31162.712000000003,31159.677000000003
82,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,CHARADRIIFORMES,CHARADRIIDAE,CHARADRIUS,SEMIPALMATUS,SEPL,31163.377999999997,31163.6,31160.377999999997
83,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,CHARADRIIFORMES,CHARADRIIDAE,CHARADRIUS,SEMIPALMATUS,SEPL,31165.034,31165.068,31162.034
84,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,CHARADRIIFORMES,CHARADRIIDAE,CHARADRIUS,SEMIPALMATUS,SEPL,31174.554,31174.623,31171.554
85,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,CHARADRIIFORMES,CHARADRIIDAE,CHARADRIUS,SEMIPALMATUS,SEPL,31179.221,31179.291,31176.221
86,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,PASSERIFORMES,PARULIDAE,GEOTHLYPIS,TRICHAS,COYE,31602.265,31602.322999999997,31599.265
87,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,PASSERIFORMES,PARULIDAE,SETOPHAGA,STRIATA,BLPW,32132.574,32132.644,32129.574
88,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,PASSERIFORMES,REGULIDAE,REGULUS,SATRAPA,GCKI,33179.725,33179.934,33176.725
89,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,PASSERIFORMES,PARULIDAE,SETOPHAGA,STRIATA,BLPW,33217.318,33217.376000000004,33214.318
90,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,PASSERIFORMES,PARULIDAE,GEOTHLYPIS,TRICHAS,COYE,36495.72,36495.801,36492.72
91,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,CHARADRIIFORMES,CHARADRIIDAE,CHARADRIUS,SEMIPALMATUS,SEPL,38837.441,38837.626000000004,38834.441
92,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,PASSERIFORMES,PARULIDAE,GEOTHLYPIS,TRICHAS,COYE,39039.234,39039.28,39036.234
93,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,PASSERIFORMES,PASSERELLIDAE,PASSERCULUS,SANDWICHENSIS,SAVS,39457.727,39457.773,39454.727
94,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,PASSERIFORMES,PASSERELLIDAE,PASSERCULUS,SANDWICHENSIS,SAVS,39470.034,39470.08,39467.034
95,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,PASSERIFORMES,TURDIDAE,CATHARUS,GUTTATUS,HETH,39700.201,39700.294,39697.201
96,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,PASSERIFORMES,PASSERELLIDAE,MELOSPIZA,MELODIA,SOSP,40165.761,40165.866,40162.761
97,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,PASSERIFORMES,REGULIDAE,REGULUS,SATRAPA,GCKI,40168.06,40168.258,40165.06
98,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,PASSERIFORMES,REGULIDAE,REGULUS,SATRAPA,GCKI,40168.513,40168.629,40165.513
99,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,PASSERIFORMES,REGULIDAE,REGULUS,SATRAPA,GCKI,40171.485,40171.636,40168.485
100,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,CHARADRIIFORMES,SCOLOPACIDAE,TRINGA,MELANOLEUCA,GRYE,40194.589,40194.659,40191.589
101,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,CHARADRIIFORMES,SCOLOPACIDAE,TRINGA,MELANOLEUCA,GRYE,40199.337,40199.512,40196.337
102,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,CHARADRIIFORMES,SCOLOPACIDAE,TRINGA,MELANOLEUCA,GRYE,40199.57,40199.651,40196.57
103,"Carleton Study, 2015-2017",CAWRR-20160511_211200,PASSERIFORMES,PASSERELLIDAE,ZONOTRICHIA,ALBICOLLIS,WTSP,2328.869,2328.903,2325.869
104,"Carleton Study, 2015-2017",CAWRR-20160511_211200,PASSERIFORMES,PARULIDAE,MNIOTILTA,VARIA,BAWW,5638.641,5638.6990000000005,5635.641
105,"Carleton Study, 2015-2017",CAWRR-20160511_211200,PASSERIFORMES,PARULIDAE,MNIOTILTA,VARIA,BAWW,18484.431,18484.488999999998,18481.431
106,"Sable Wind Project 2013, 2015-2016/Winter Bo",SWWB_20150501_204200,PASSERIFORMES,TURDIDAE,CATHARUS,GUTTATUS,HETH,23784.202999999998,23784.299,23781.202999999998
107,"Carleton Study, 2015-2017",CAWRR-20150919_195600,PASSERIFORMES,PARULIDAE,PARKESIA,NOVEBORACENSIS,NOWA,939.503,939.584,936.503
108,"Carleton Study, 2015-2017",CAWRR-20150919_195600,PASSERIFORMES,PARULIDAE,SETOPHAGA,CASTANEA,BBWA,959.8430000000001,959.89,956.8430000000001
109,"Carleton Study, 2015-2017",CAWRR-20150919_195600,PASSERIFORMES,PARULIDAE,SETOPHAGA,CASTANEA,BBWA,974.867,974.9010000000001,971.867
110,"Carleton Study, 2015-2017",CAWRR-20150919_195600,PASSERIFORMES,PARULIDAE,GEOTHLYPIS,TRICHAS,COYE,1657.1270000000002,1657.1729999999998,1654.1270000000002
111,"Carleton Study, 2015-2017",CAWRR-20150919_195600,PASSERIFORMES,PARULIDAE,SETOPHAGA,MAGNOLIA,MAWA,1835.2120000000002,1835.27,1832.2120000000002
112,"Carleton Study, 2015-2017",CAWRR-20150919_195600,PASSERIFORMES,PARULIDAE,SETOPHAGA,MAGNOLIA,MAWA,1837.79,1837.9289999999999,1834.79
113,"Carleton Study, 2015-2017",CAWRR-20150919_195600,PASSERIFORMES,PARULIDAE,SETOPHAGA,STRIATA,BLPW,1966.219,1966.254,1963.219
114,"Carleton Study, 2015-2017",CAWRR-20150919_195600,PASSERIFORMES,PARULIDAE,GEOTHLYPIS,TRICHAS,COYE,2061.386,2061.4210000000003,2058.386
115,"Carleton Study, 2015-2017",CAWRR-20150919_195600,PASSERIFORMES,PARULIDAE,SETOPHAGA,MAGNOLIA,MAWA,2216.02,2216.054,2213.02
116,"Carleton Study, 2015-2017",CAWRR-20150919_195600,PASSERIFORMES,PARULIDAE,SETOPHAGA,MAGNOLIA,MAWA,2473.308,2473.39,2470.308
117,"Carleton Study, 2015-2017",CAWRR-20150919_195600,PASSERIFORMES,PARULIDAE,GEOTHLYPIS,TRICHAS,COYE,2546.904,2546.974,2543.904
118,"Carleton Study, 2015-2017",CAWRR-20150919_195600,PASSERIFORMES,PARULIDAE,SETOPHAGA,STRIATA,BLPW,2636.115,2636.1609999999996,2633.115
119,"Carleton Study, 2015-2017",CAWRR-20150919_195600,PASSERIFORMES,PARULIDAE,SETOPHAGA,VIRENS,BTNW,2735.322,2735.357,2732.322
120,"Carleton Study, 2015-2017",CAWRR-20150919_195600,PASSERIFORMES,PARULIDAE,SETOPHAGA,CAERULESCENS,BTBW,2886.542,2886.577,2883.542
121,"Carleton Study, 2015-2017",CAWRR-20150919_195600,PASSERIFORMES,PARULIDAE,GEOTHLYPIS,TRICHAS,COYE,2998.7290000000003,2998.8109999999997,2995.7290000000003
122,"Carleton Study, 2015-2017",CAWRR-20150919_195600,PASSERIFORMES,PASSERELLIDAE,ZONOTRICHIA,ALBICOLLIS,WTSP,3411.4640000000004,3411.5570000000002,3408.4640000000004
123,"Carleton Study, 2015-2017",CAWRR-20150919_195600,PASSERIFORMES,PARULIDAE,SETOPHAGA,PALMARUM,PAWA,3412.184,3412.2540000000004,3409.184
124,"Carleton Study, 2015-2017",CAWRR-20150919_195600,PASSERIFORMES,PARULIDAE,SETOPHAGA,MAGNOLIA,MAWA,3450.822,3450.868,3447.822
125,"Carleton Study, 2015-2017",CAWRR-20150919_195600,PASSERIFORMES,PARULIDAE,SETOPHAGA,MAGNOLIA,MAWA,3583.547,3583.605,3580.547
126,"Carleton Study, 2015-2017",CAWRR-20150919_195600,PASSERIFORMES,PARULIDAE,SETOPHAGA,MAGNOLIA,MAWA,3587.611,3587.68,3584.611
127,"Carleton Study, 2015-2017",CAWRR-20150919_195600,PASSERIFORMES,PARULIDAE,SETOPHAGA,MAGNOLIA,MAWA,3605.455,3605.548,3602.455
128,"Carleton Study, 2015-2017",CAWRR-20150919_195600,PASSERIFORMES,PARULIDAE,SETOPHAGA,AMERICANA,NOPA,3702.433,3702.4570000000003,3699.433
129,"Carleton Study, 2015-2017",CAWRR-20150919_195600,PASSERIFORMES,PARULIDAE,SETOPHAGA,AMERICANA,NOPA,3716.5159999999996,3716.563,3713.5159999999996
130,"Carleton Study, 2015-2017",CAWRR-20150919_195600,PASSERIFORMES,PARULIDAE,SETOPHAGA,STRIATA,BLPW,3725.259,3725.317,3722.259
131,"Carleton Study, 2015-2017",CAWRR-20150919_195600,PASSERIFORMES,PARULIDAE,SETOPHAGA,AMERICANA,NOPA,3753.784,3753.8309999999997,3750.784
132,"Carleton Study, 2015-2017",CAWRR-20150919_195600,PASSERIFORMES,PARULIDAE,SETOPHAGA,AMERICANA,NOPA,3756.547,3756.571,3753.547
133,"Carleton Study, 2015-2017",CAWRR-20150919_195600,PASSERIFORMES,PARULIDAE,SEIURUS,AUROCAPILLA,OVEN,3814.284,3814.3070000000002,3811.284
134,"Carleton Study, 2015-2017",CAWRR-20150919_195600,PASSERIFORMES,PARULIDAE,SEIURUS,AUROCAPILLA,OVEN,3817.6620000000003,3817.697,3814.6620000000003
135,"Carleton Study, 2015-2017",CAWRR-20150919_195600,PASSERIFORMES,PARULIDAE,MNIOTILTA,VARIA,BAWW,3910.554,3910.6929999999998,3907.554
136,"Carleton Study, 2015-2017",CAWRR-20150919_195600,PASSERIFORMES,PARULIDAE,SETOPHAGA,MAGNOLIA,MAWA,3921.676,3921.723,3918.676
137,"Carleton Study, 2015-2017",CAWRR-20150919_195600,PASSERIFORMES,PARULIDAE,SETOPHAGA,MAGNOLIA,MAWA,4061.507,4061.634,4058.507
138,"Carleton Study, 2015-2017",CAWRR-20150919_195600,PASSERIFORMES,PARULIDAE,SETOPHAGA,MAGNOLIA,MAWA,4062.7490000000003,4062.795,4059.7490000000003
139,"Carleton Study, 2015-2017",CAWRR-20150919_195600,PASSERIFORMES,PARULIDAE,SETOPHAGA,MAGNOLIA,MAWA,4063.7009999999996,4063.782,4060.7009999999996
140,"Carleton Study, 2015-2017",CAWRR-20150919_195600,PASSERIFORMES,PARULIDAE,MNIOTILTA,VARIA,BAWW,4181.542,4181.647,4178.542
141,"Carleton Study, 2015-2017",CAWRR-20150919_195600,PASSERIFORMES,PARULIDAE,MNIOTILTA,VARIA,BAWW,4275.885,4276.048,4272.885
