,project,source_clip,order,family,genus,species,alpha_code,annotation_start_time,annotation_end_time,audio_clip_start_time
0,"Carleton Study, 2015-2017",CAWRR-20160725_212800,PASSERIFORMES,PARULIDAE,SETOPHAGA,RUTICILLA,AMRE,3585.045,3585.103,3582.045
1,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,PASSERIFORMES,PARULIDAE,SETOPHAGA,CORONATA,YRWA,70.055,70.14699999999999,67.055
2,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,CHARADRIIFORMES,SCOLOPACIDAE,TRINGA,MELANOLEUCA,GRYE,781.329,781.4010000000001,778.329
3,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,CHARADRIIFORMES,SCOLOPACIDAE,TRINGA,MELANOLEUCA,GRYE,781.549,781.63,778.549
4,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,CHARADRIIFORMES,SCOLOPACIDAE,TRINGA,MELANOLEUCA,GRYE,781.7239999999999,781.78,778.7239999999999
5,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,CHARADRIIFORMES,SCOLOPACIDAE,TRINGA,MELANOLEUCA,GRYE,781.9169999999999,781.9639999999999,778.9169999999999
6,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,CHARADRIIFORMES,SCOLOPACIDAE,TRINGA,MELANOLEUCA,GRYE,783.314,783.383,780.314
7,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,CHARADRIIFORMES,SCOLOPACIDAE,TRINGA,MELANOLEUCA,GRYE,783.4989999999999,783.5830000000001,780.4989999999999
8,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,CHARADRIIFORMES,SCOLOPACIDAE,TRINGA,MELANOLEUCA,GRYE,783.672,783.7560000000001,780.672
9,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,CHARADRIIFORMES,SCOLOPACIDAE,TRINGA,MELANOLEUCA,GRYE,783.824,783.94,780.824
10,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,CHARADRIIFORMES,SCOLOPACIDAE,TRINGA,MELANOLEUCA,GRYE,785.2760000000001,785.31,782.2760000000001
11,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,CHARADRIIFORMES,SCOLOPACIDAE,TRINGA,MELANOLEUCA,GRYE,785.461,785.4960000000001,782.461
12,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,CHARADRIIFORMES,SCOLOPACIDAE,TRINGA,MELANOLEUCA,GRYE,786.692,786.7919999999999,783.692
13,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,CHARADRIIFORMES,SCOLOPACIDAE,TRINGA,MELANOLEUCA,GRYE,786.8560000000001,786.922,783.8560000000001
14,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,CHARADRIIFORMES,SCOLOPACIDAE,TRINGA,MELANOLEUCA,GRYE,787.04,787.168,784.04
15,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,CHARADRIIFORMES,SCOLOPACIDAE,TRINGA,MELANOLEUCA,GRYE,915.515,915.5369999999999,912.515
16,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,CHARADRIIFORMES,SCOLOPACIDAE,TRINGA,MELANOLEUCA,GRYE,915.6080000000001,915.64,912.6080000000001
17,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,CHARADRIIFORMES,SCOLOPACIDAE,TRINGA,MELANOLEUCA,GRYE,915.758,915.814,912.758
18,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,CHARADRIIFORMES,SCOLOPACIDAE,TRINGA,MELANOLEUCA,GRYE,915.934,915.992,912.934
19,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,CHARADRIIFORMES,SCOLOPACIDAE,TRINGA,MELANOLEUCA,GRYE,916.055,916.0989999999999,913.055
20,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,CHARADRIIFORMES,SCOLOPACIDAE,TRINGA,MELANOLEUCA,GRYE,916.197,916.2460000000001,913.197
21,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,CHARADRIIFORMES,SCOLOPACIDAE,TRINGA,MELANOLEUCA,GRYE,916.342,916.3839999999999,913.342
22,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,CHARADRIIFORMES,SCOLOPACIDAE,TRINGA,MELANOLEUCA,GRYE,916.455,916.498,913.455
23,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,CHARADRIIFORMES,SCOLOPACIDAE,TRINGA,MELANOLEUCA,GRYE,916.666,916.712,913.666
24,"Sable Wind Project 2013, 2015-2016/Camp Glasgow",SWCG-20130928_192000,PASSERIFORMES,PARULIDAE,SETOPHAGA,AMERICANA,NOPA,1700.989,1701.036,1697.989
